trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
108_208_43_1_20250114_163408_hunger_board,108_208,board,hunger,108,3,3,9.17,15.17,6.0,750,0.008,0.0075,0.07,0.0207,0.6674,0.7413,0.528
108_208_45_1_20250114_163506_sushi_board,108_208,board,sushi,208,1,1,2.19,7.79,5.6,467,0.012,0.0019,0.07,0.0369,0.7112,0.7937,0.648
108_208_46_1_20250114_163523_jungle_board,108_208,board,jungle,208,1,1,8.24,14.2,5.96,596,0.01,0.0044,0.07,0.0305,0.7158,0.8028,0.51
108_208_47_1_20250114_163536_yellow_board,108_208,board,yellow,208,1,1,2.67,9.46,6.79,1132,0.006,0.0023,0.07,0.093,0.9434,0.9675,1.038
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,1,8,1.65,3.65,2.0,67,0.03,0.0066,0.07,0.0461,0.2899,0.5121,0.24
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,2,8,5.27,7.65,2.38,79,0.03,0.0066,0.07,0.038,0.2194,0.3713,0.21
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,3,8,19.86,21.86,2.0,67,0.03,0.0066,0.07,0.1125,0.598,0.7762,0.39
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,4,8,25.43,27.43,2.0,67,0.03,0.0066,0.07,0.0408,0.2077,0.4809,0.18
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,5,8,30.35,32.95,2.6,87,0.03,0.0066,0.07,0.0316,0.3013,0.4142,0.18
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,6,8,34.55,36.55,2.0,67,0.03,0.0066,0.07,0.0457,0.439,0.6341,0.33
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,7,8,37.83,40.15,2.32,78,0.03,0.0066,0.07,0.0266,0.0494,0.179,0.06
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,8,8,42.31,44.31,2.0,66,0.03,0.0066,0.07,0.0308,0.2537,0.4552,0.12
108_208_54_1_20250114_163903_soda_board,108_208,board,soda,208,1,1,1.1,7.1,6.0,1000,0.006,0.0043,0.07,0.0234,0.7877,0.8557,0.516
116_216_13_1_20250116_102527_traffic_board,116_216,board,traffic,116,1,1,4.37,9.37,5.0,833,0.006,0.0028,0.07,0.0204,0.7267,0.8198,0.588
116_216_14_1_20250116_102556_picture_board,116_216,board,picture,116,1,3,3.54,10.06,6.52,407,0.016,0.0122,0.07,0.1215,0.8585,0.9055,1.984
116_216_14_1_20250116_102556_picture_board,116_216,board,picture,116,2,3,11.06,16.86,5.8,362,0.016,0.0122,0.07,0.0527,0.5788,0.7,0.592
116_216_14_1_20250116_102556_picture_board,116_216,board,picture,116,3,3,16.86,21.3,4.44,278,0.016,0.0122,0.07,0.0268,0.4479,0.5468,0.464
116_216_16_1_20250116_102611_pasta_board,116_216,board,pasta,116,1,1,0.37,7.32,6.95,1737,0.004,0.0053,0.07,0.0629,0.9373,0.962,1.996
116_216_17_1_20250116_102622_yellow_board,116_216,board,yellow,116,1,1,1.42,8.28,6.86,1143,0.006,0.0028,0.07,0.0839,0.9609,0.9764,2.658
116_216_18_1_20250116_102638_hunger_board,116_216,board,hunger,116,1,1,3.95,13.95,10.0,1250,0.008,0.0034,0.07,0.0414,0.8386,0.8927,0.776
116_216_19_1_20250116_102654_leather_board,116_216,board,leather,116,1,1,1.42,11.92,10.5,1312,0.008,0.005,0.07,0.0899,0.921,0.9536,2.712
116_216_20_1_20250116_102710_pillow_board,116_216,board,pillow,116,1,2,1.04,6.72,5.68,710,0.008,0.0187,0.07,0.0554,0.7442,0.8434,0.808
116_216_20_1_20250116_102710_pillow_board,116_216,board,pillow,116,2,2,7.6,12.74,5.14,643,0.008,0.0187,0.07,0.0361,0.6139,0.725,0.352
116_216_21_1_20250116_102716_muscle_board,116_216,board,muscle,116,1,1,0.62,2.52,1.9,475,0.004,0.0081,0.07,0.0622,0.9041,0.9426,0.468
116_216_25_1_20250116_102832_puppy_ground,116_216,ground,puppy,216,1,3,0.66,7.44,6.78,565,0.012,0.0012,0.07,0.0812,0.8606,0.924,0.732
116_216_25_1_20250116_102832_puppy_ground,116_216,ground,puppy,216,2,3,7.84,9.48,1.64,136,0.012,0.0012,0.07,0.0702,0.718,0.8498,0.168
116_216_25_1_20250116_102832_puppy_ground,116_216,ground,puppy,216,3,3,11.1,18.03,6.93,578,0.012,0.0012,0.07,0.0687,0.8433,0.9108,1.284
116_216_26_1_20250116_102855_sugar_ground,116_216,ground,sugar,216,1,1,1.14,20.09,18.95,1580,0.012,0.0013,0.07,0.0735,0.8489,0.9151,0.696
116_216_28_1_20250116_102950_cologne_ground,116_216,ground,cologne,216,1,2,3.31,25.54,22.23,1111,0.02,0.002,0.07,0.0473,0.7503,0.8395,0.76
116_216_28_1_20250116_102950_cologne_ground,116_216,ground,cologne,216,2,2,25.54,35.49,9.95,498,0.02,0.002,0.07,0.1798,0.9206,0.9601,1.4
116_216_30_1_20250116_103021_tiger_ground,116_216,ground,tiger,216,1,1,0.82,14.66,13.84,1730,0.008,0.0015,0.07,0.0693,0.8933,0.9406,1.224
116_216_34_1_20250116_103225_flower_ground,116_216,ground,flower,116,1,1,2.51,8.11,5.6,933,0.006,0.0033,0.07,0.0396,0.8745,0.9168,0.978
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,1,5,2.96,4.96,2.0,143,0.014,0.0071,0.07,0.0776,0.8607,0.9036,0.294
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,2,5,5.96,7.96,2.0,143,0.014,0.0071,0.07,0.0199,0.2359,0.3587,0.098
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,3,5,10.96,11.96,1.0,72,0.014,0.0071,0.07,0.0652,0.7574,0.8491,0.308
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,4,5,13.96,14.96,1.0,71,0.014,0.0071,0.07,0.0363,0.2732,0.5137,0.07
116_216_36_1_20250116_103426_jungle_ground,116_216,ground,jungle,116,5,5,19.4,24.4,5.0,357,0.014,0.0071,0.07,0.0384,0.6143,0.7311,0.686
116_216_37_1_20250116_103447_beauty_ground,116_216,ground,beauty,116,1,1,1.14,10.79,9.65,805,0.012,0.0042,0.07,0.0562,0.9062,0.941,1.776
116_216_38_1_20250116_103502_coffee_ground,116_216,ground,coffee,116,1,2,0.91,6.57,5.66,708,0.008,0.0044,0.07,0.0843,0.914,0.9533,2.288
116_216_38_1_20250116_103502_coffee_ground,116_216,ground,coffee,116,2,2,8.57,10.57,2.0,250,0.008,0.0044,0.07,0.0655,0.8472,0.9146,0.432
116_216_39_1_20250116_103539_birthday_ground,116_216,ground,birthday,116,1,4,0.88,8.88,8.0,400,0.02,0.0057,0.07,0.1886,0.9102,0.946,0.94
116_216_39_1_20250116_103539_birthday_ground,116_216,ground,birthday,116,2,4,13.88,14.88,1.0,50,0.02,0.0057,0.07,0.04,0.22,0.4,0.06
116_216_39_1_20250116_103539_birthday_ground,116_216,ground,birthday,116,3,4,24.88,29.88,5.0,250,0.02,0.0057,0.07,0.0264,0.2349,0.3033,0.22
116_216_39_1_20250116_103539_birthday_ground,116_216,ground,birthday,116,4,4,30.88,34.88,4.0,200,0.02,0.0057,0.07,0.0627,0.626,0.7157,0.66
116_216_42_1_20250116_103705_exam_ground,116_216,ground,exam,116,1,3,0.94,13.62,12.68,793,0.016,0.0108,0.07,0.1122,0.8955,0.9304,1.84
116_216_42_1_20250116_103705_exam_ground,116_216,ground,exam,116,2,3,13.62,20.98,7.36,460,0.016,0.0108,0.07,0.0229,0.3552,0.4678,0.416
116_216_42_1_20250116_103705_exam_ground,116_216,ground,exam,116,3,3,20.98,27.5,6.52,407,0.016,0.0108,0.07,0.0234,0.3241,0.4542,0.336
