trial_id,pair_id,condition,target_word,clue_giver_id,attempt_idx,n_attempts,start,end,duration,n_points,dt,trial_threshold,trial_recurrence_rate,RR,DET,LAM,L_MAX
108_208_39_1_20250114_163319_beauty_board,108_208,board,beauty,108,1,1,0.85,7.09,6.24,187,0.0333,0.0331,0.07,0.064,0.3573,0.4417,0.2
108_208_40_1_20250114_163328_christmas_board,108_208,board,christmas,108,1,1,0.72,6.72,6.0,180,0.0333,0.016,0.07,0.056,0.2214,0.3563,0.1333
108_208_41_1_20250114_163344_trumpet_board,108_208,board,trumpet,108,1,1,0.0,8.48,8.48,255,0.0333,0.027,0.07,0.1027,0.29,0.4631,0.2
108_208_42_1_20250114_163352_music_board,108_208,board,music,108,1,1,1.01,5.61,4.6,138,0.0333,0.0462,0.07,0.0762,0.2438,0.3919,0.1333
108_208_43_1_20250114_163408_hunger_board,108_208,board,hunger,108,1,3,1.17,5.17,4.0,120,0.0333,0.039,0.07,0.0974,0.475,0.5991,0.3333
108_208_43_1_20250114_163408_hunger_board,108_208,board,hunger,108,2,3,5.17,7.17,2.0,60,0.0333,0.039,0.07,0.0439,0.0886,0.2342,0.1
108_208_43_1_20250114_163408_hunger_board,108_208,board,hunger,108,3,3,9.17,15.17,6.0,180,0.0333,0.039,0.07,0.0462,0.1524,0.3409,0.1333
108_208_45_1_20250114_163506_sushi_board,108_208,board,sushi,208,1,1,2.19,7.79,5.6,168,0.0333,0.0446,0.07,0.0414,0.1592,0.2611,0.1667
108_208_46_1_20250114_163523_jungle_board,108_208,board,jungle,208,1,1,8.24,14.2,5.96,178,0.0333,0.0399,0.07,0.0687,0.2525,0.3517,0.1333
108_208_47_1_20250114_163536_yellow_board,108_208,board,yellow,208,1,1,2.67,9.46,6.79,203,0.0333,0.0607,0.07,0.0666,0.2528,0.4204,0.1333
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,1,8,1.65,3.65,2.0,60,0.0333,0.0337,0.07,0.2733,0.5752,0.7429,0.2333
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,2,8,5.27,7.65,2.38,71,0.0333,0.0337,0.07,0.1355,0.3397,0.4963,0.2333
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,3,8,19.86,21.86,2.0,60,0.0333,0.0337,0.07,0.3006,0.7597,0.902,0.4667
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,4,8,25.43,27.43,2.0,60,0.0333,0.0337,0.07,0.0656,0.2034,0.5424,0.0667
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,5,8,30.35,32.95,2.6,78,0.0333,0.0337,0.07,0.0352,0.0935,0.3084,0.1333
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,6,8,34.55,36.55,2.0,60,0.0333,0.0337,0.07,0.035,0.0476,0.2698,0.1
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,7,8,37.83,40.15,2.32,70,0.0333,0.0337,0.07,0.038,0.086,0.2097,0.0667
108_208_48_1_20250114_163634_flannel_board,108_208,board,flannel,208,8,8,42.31,44.31,2.0,60,0.0333,0.0337,0.07,0.0422,0.1053,0.2566,0.0667
108_208_49_1_20250114_163641_doughnut_board,108_208,board,doughnut,208,1,1,1.68,3.68,2.0,60,0.0333,0.0293,0.07,0.0878,0.2342,0.4209,0.1
108_208_51_1_20250114_163806_spinach_board,108_208,board,spinach,208,1,5,3.02,22.59,19.57,293,0.0667,0.0169,0.07,0.1955,0.7199,0.8146,1.3333
108_208_51_1_20250114_163806_spinach_board,108_208,board,spinach,208,2,5,26.83,38.18,11.35,170,0.0667,0.0169,0.07,0.0662,0.2257,0.3835,0.2667
108_208_51_1_20250114_163806_spinach_board,108_208,board,spinach,208,3,5,42.14,52.61,10.47,157,0.0667,0.0169,0.07,0.0612,0.2147,0.3512,0.2667
108_208_51_1_20250114_163806_spinach_board,108_208,board,spinach,208,4,5,54.61,57.61,3.0,45,0.0667,0.0169,0.07,0.0864,0.1943,0.1829,0.2
108_208_51_1_20250114_163806_spinach_board,108_208,board,spinach,208,5,5,59.61,64.62,5.01,75,0.0667,0.0169,0.07,0.0567,0.1129,0.2351,0.1333
108_208_52_1_20250114_163842_blanket_board,108_208,board,blanket,208,1,1,2.0,8.0,6.0,180,0.0333,0.035,0.07,0.0789,0.3482,0.52,0.1667
108_208_53_1_20250114_163852_pillow_board,108_208,board,pillow,208,1,1,0.78,6.63,5.85,175,0.0333,0.0283,0.07,0.0726,0.4678,0.5992,0.2667
108_208_54_1_20250114_163903_soda_board,108_208,board,soda,208,1,1,1.1,7.1,6.0,181,0.0333,0.055,0.07,0.1017,0.341,0.4533,0.2667
116_216_12_1_20250116_102514_butter_board,116_216,board,butter,116,1,1,3.47,5.47,2.0,60,0.0333,0.0186,0.07,0.04,0.0,0.1667,0.0
116_216_13_1_20250116_102527_traffic_board,116_216,board,traffic,116,1,1,4.37,9.37,5.0,150,0.0333,0.0285,0.07,0.0386,0.129,0.2166,0.1
116_216_14_1_20250116_102556_picture_board,116_216,board,picture,116,1,3,3.54,10.06,6.52,195,0.0333,0.0768,0.07,0.0892,0.3574,0.4878,0.3667
116_216_14_1_20250116_102556_picture_board,116_216,board,picture,116,2,3,11.06,16.86,5.8,174,0.0333,0.0768,0.07,0.0591,0.2268,0.2983,0.2
116_216_14_1_20250116_102556_picture_board,116_216,board,picture,116,3,3,16.86,21.3,4.44,134,0.0333,0.0768,0.07,0.0766,0.2137,0.3517,0.1333
116_216_15_1_20250116_102602_siren_board,116_216,board,siren,116,1,1,0.75,2.75,2.0,60,0.0333,0.0346,0.07,0.1161,0.7751,0.8325,0.6
116_216_16_1_20250116_102611_pasta_board,116_216,board,pasta,116,1,1,0.37,7.32,6.95,208,0.0333,0.0665,0.07,0.0739,0.281,0.3992,0.1333
116_216_17_1_20250116_102622_yellow_board,116_216,board,yellow,116,1,1,1.42,8.28,6.86,206,0.0333,0.0446,0.07,0.0932,0.3374,0.5324,0.2333
116_216_18_1_20250116_102638_hunger_board,116_216,board,hunger,116,1,1,3.95,13.95,10.0,300,0.0333,0.0652,0.07,0.0655,0.2192,0.2903,0.2
116_216_19_1_20250116_102654_leather_board,116_216,board,leather,116,1,1,1.42,11.92,10.5,315,0.0333,0.0527,0.07,0.0832,0.3772,0.5334,0.4
116_216_20_1_20250116_102710_pillow_board,116_216,board,pillow,116,1,2,1.04,6.72,5.68,170,0.0333,0.0762,0.07,0.1093,0.3357,0.4512,0.3667
116_216_20_1_20250116_102710_pillow_board,116_216,board,pillow,116,2,2,7.6,12.74,5.14,154,0.0333,0.0762,0.07,0.0543,0.1894,0.2585,0.1333
116_216_21_1_20250116_102716_muscle_board,116_216,board,muscle,116,1,1,0.62,2.52,1.9,57,0.0333,0.0401,0.07,0.0502,0.0491,0.2822,0.0667
116_216_23_1_20250116_102753_doughnut_ground,116_216,ground,doughnut,216,1,1,0.59,10.09,9.5,285,0.0333,0.0153,0.07,0.0899,0.3695,0.472,0.2667
116_216_24_1_20250116_102808_bacon_ground,116_216,ground,bacon,216,1,2,0.82,7.51,6.69,201,0.0333,0.0432,0.07,0.0712,0.3087,0.4779,0.3333
116_216_24_1_20250116_102808_bacon_ground,116_216,ground,bacon,216,2,2,7.51,13.51,6.0,180,0.0333,0.0432,0.07,0.0744,0.3292,0.4672,0.2
116_216_25_1_20250116_102832_puppy_ground,116_216,ground,puppy,216,1,3,0.66,7.44,6.78,204,0.0333,0.0357,0.07,0.0855,0.534,0.6372,0.5
116_216_25_1_20250116_102832_puppy_ground,116_216,ground,puppy,216,2,3,7.84,9.48,1.64,49,0.0333,0.0357,0.07,0.0721,0.0694,0.2659,0.0667
116_216_25_1_20250116_102832_puppy_ground,116_216,ground,puppy,216,3,3,11.1,18.03,6.93,208,0.0333,0.0357,0.07,0.0935,0.4587,0.6256,0.4
116_216_26_1_20250116_102855_sugar_ground,116_216,ground,sugar,216,1,1,1.14,20.09,18.95,568,0.0333,0.0294,0.07,0.0778,0.5053,0.6296,0.8667
116_216_27_1_20250116_102911_zipper_ground,116_216,ground,zipper,216,1,1,0.75,15.44,14.69,441,0.0333,0.04,0.07,0.0696,0.5872,0.7002,0.8
116_216_28_1_20250116_102950_cologne_ground,116_216,ground,cologne,216,1,2,3.31,25.54,22.23,667,0.0333,0.0244,0.07,0.0828,0.4598,0.5765,0.4
116_216_28_1_20250116_102950_cologne_ground,116_216,ground,cologne,216,2,2,25.54,35.49,9.95,298,0.0333,0.0244,0.07,0.089,0.4173,0.5449,0.4667
116_216_29_1_20250116_103005_hamster_ground,116_216,ground,hamster,216,1,1,1.07,13.95,12.88,384,0.0333,0.0364,0.07,0.0762,0.4795,0.6051,0.3333
116_216_30_1_20250116_103021_tiger_ground,116_216,ground,tiger,216,1,1,0.82,14.66,13.84,415,0.0333,0.0259,0.07,0.0696,0.472,0.5983,0.3
116_216_31_1_20250116_103035_chlorine_ground,116_216,ground,chlorine,216,1,1,1.17,12.17,11.0,330,0.0333,0.026,0.07,0.081,0.3825,0.5101,0.2333
116_216_32_1_20250116_103144_walnut_ground,116_216,ground,walnut,216,1,5,0.75,15.75,15.0,225,0.0667,0.0301,0.07,0.0746,0.3513,0.5211,0.8667
116_216_32_1_20250116_103144_walnut_ground,116_216,ground,walnut,216,2,5,17.75,31.75,14.0,210,0.0667,0.0301,0.07,0.0628,0.2816,0.4029,0.4
116_216_32_1_20250116_103144_walnut_ground,116_216,ground,walnut,216,3,5,35.54,51.07,15.53,233,0.0667,0.0301,0.07,0.0782,0.4822,0.601,1.0667
116_216_32_1_20250116_103144_walnut_ground,116_216,ground,walnut,216,4,5,52.07,59.07,7.0,105,0.0667,0.0301,0.07,0.0474,0.088,0.2103,0.2
116_216_32_1_20250116_103144_walnut_ground,116_216,ground,walnut,216,5,5,62.07,65.07,3.0,45,0.0667,0.0301,0.07,0.1141,0.1991,0.3377,0.2667
116_216_34_1_20250116_103225_flower_ground,116_216,ground,flower,116,1,1,2.51,8.11,5.6,168,0.0333,0.0986,0.07,0.0782,0.2094,0.3087,0.1333
